date,close,open,high,low,volume,amount,pe_ttm
2021-01-01,5267.72,5212.93,5284.43,5190.94,21171.14,4527.96,17.41
2021-01-04,5267.72,5212.93,5284.43,5190.94,21171.14,4527.96,17.41
2021-01-05,5368.5,5245.84,5368.5,5234.38,22493.12,4980.42,17.7
2021-01-06,5417.67,5386.51,5433.47,5341.43,19377.34,4444.34,17.88
2021-01-07,5513.66,5428.39,5513.66,5413.35,21987.21,4733.85,18.17
2021-01-08,5495.43,5526.29,5547.47,5442.69,20432.5,4735.68,18.12
2021-01-11,5441.16,5504.24,5555.69,5412.5,23183.6,5222.98,17.95
2021-01-12,5596.35,5419.5,5596.35,5417.63,22422.02,4862.34,18.41
2021-01-13,5577.97,5609.26,5644.72,5535.14,26156.99,5469.6,18.38
2021-01-14,5470.46,5556.21,5568.02,5458.68,24368.34,5018.9,18.08
2021-01-15,5458.08,5471.39,5500.63,5390.27,23863.74,4757.1,18.04
2021-01-18,5518.52,5438.16,5541.46,5410.78,20705.19,4227.17,18.18
2021-01-19,5437.52,5525.97,5532.48,5415.72,21104.34,4332.05,17.95
2021-01-20,5476.43,5439.91,5496.05,5426.54,17091.33,3737.7,18.06
2021-01-21,5564.97,5492.96,5593.11,5490.56,20995.02,4531.84,18.33
2021-01-22,5569.78,5562.38,5573.66,5513.88,19930.0,4566.22,18.31
2021-01-25,5625.92,5564.12,5655.48,5543.27,19704.7,5081.67,18.5
2021-01-26,5512.97,5600.9,5600.9,5506.0,17190.46,4150.08,18.17
2021-01-27,5528.0,5505.77,5534.99,5449.64,16019.08,3768.93,18.21
2021-01-28,5377.14,5450.37,5462.24,5360.38,17048.56,3761.67,17.77
2021-01-29,5351.96,5413.97,5430.2,5288.1,18217.88,3902.88,17.72
2021-02-01,5417.65,5356.85,5422.3,5342.05,16631.37,3468.59,17.9
2021-02-02,5501.09,5429.7,5503.21,5411.52,16521.06,3800.17,18.14
2021-02-03,5485.2,5499.3,5532.89,5473.12,18805.43,4043.44,18.08
2021-02-04,5473.95,5453.98,5510.05,5411.57,18057.57,3979.95,18.05
2021-02-05,5483.41,5494.7,5550.77,5477.65,18969.96,3954.0,18.09
2021-02-08,5564.56,5506.14,5576.49,5479.85,16403.38,3675.83,18.32
2021-02-09,5686.25,5584.17,5686.25,5555.05,16488.73,3787.69,18.7
2021-02-10,5807.72,5709.68,5823.42,5707.33,17016.98,4170.56,19.09
2021-02-18,5768.38,5922.07,5930.91,5747.66,21884.87,5074.81,18.97
2021-02-19,5778.84,5734.02,5787.89,5667.32,21447.58,4564.34,19.0
2021-02-22,5597.33,5785.51,5785.51,5597.33,28212.44,5436.33,18.48
2021-02-23,5579.67,5542.68,5644.76,5541.11,23380.77,4249.04,18.4
2021-02-24,5437.57,5591.48,5598.83,5379.73,22542.86,4723.69,17.94
2021-02-25,5469.56,5494.47,5527.63,5444.16,23073.6,4122.06,18.06
2021-02-26,5336.76,5343.9,5416.32,5318.86,21226.45,4057.18,17.63
2021-03-01,5418.78,5389.25,5421.56,5345.94,17746.35,3581.47,17.86
2021-03-02,5349.63,5453.28,5454.97,5305.05,19651.11,3764.45,17.62
2021-03-03,5452.21,5327.35,5452.4,5316.48,19470.91,3376.1,17.95
2021-03-04,5280.71,5388.48,5392.37,5254.78,21277.52,3843.82,17.45
2021-03-05,5262.8,5191.97,5307.82,5174.25,20262.8,3525.4,17.44
2021-03-08,5080.02,5299.79,5326.26,5079.8,23023.16,4071.34,16.89
2021-03-09,4971.0,5066.15,5094.31,4917.91,23071.1,4144.15,16.55
2021-03-10,5003.61,5047.06,5055.28,4981.62,16992.85,3095.77,16.62
2021-03-11,5128.22,5024.56,5138.41,5020.58,18960.08,3338.59,17.01
2021-03-12,5146.38,5153.67,5153.67,5086.82,20102.06,3232.38,17.08
2021-03-15,5035.54,5116.12,5120.88,4992.4,20415.31,3307.41,16.76
2021-03-16,5079.36,5054.41,5084.31,5009.95,16139.01,2717.55,16.91
