code,name,num_stocks,pe_static,pe_ttm,pb,div_yield
801010,农林牧渔,104,24.11,23.09,2.52,1.9
801030,基础化工,408,30.8,28.96,2.72,1.4
801040,钢铁,44,28.24,23.01,1.23,1.95
801050,有色金属,138,35.1,28.58,4.02,1.22
801080,电子,477,66.56,59.01,5.52,0.59
801880,汽车,284,26.19,25.78,2.54,1.62
801110,家用电器,94,15.99,14.93,2.51,3.89
801120,食品饮料,123,19.58,20.32,4.21,4.07
801130,纺织服饰,105,19.8,20.52,1.83,3.52
801140,轻工制造,158,24.05,24.54,2.43,2.25
801150,医药生物,480,28.98,28.17,2.68,1.65
801160,公用事业,131,19.67,19.13,1.88,2.62
801170,交通运输,127,14.37,15.37,1.3,3.28
801180,房地产,99,28.38,32.72,0.96,1.69
801200,商贸零售,99,30.55,32.63,2.16,1.69
801210,社会服务,81,35.71,37.16,2.79,1.49
801780,银行,42,6.96,6.87,0.67,5.53
801790,非银金融,82,14.37,10.73,1.43,2.16
801230,综合,15,98.89,65.25,3.22,0.55
801710,建筑材料,72,30.19,25.61,1.68,2.72
801720,建筑装饰,156,9.41,10.24,0.8,2.64
801730,电力设备,365,37.56,35.44,3.95,1.11
801890,机械设备,532,37.89,34.74,3.07,1.3
801740,国防军工,141,87.5,79.74,4.35,0.53
801750,计算机,335,58.14,53.28,4.64,0.99
801760,传媒,130,32.64,27.36,2.46,2.08
801770,通信,123,27.69,25.12,2.49,2.49
801950,煤炭,37,14.44,18.98,1.85,4.93
801960,石油石化,47,14.84,16.38,1.59,3.38
801970,环保,133,25.08,25.72,1.74,1.8
801980,美容护理,29,29.4,32.14,3.08,1.98
